time_end_s,T_zone_used_C,ahu_sat_sp_C,zone_temp_sp_C,T_zone_C,T_outdoor_C,T_ahu_supply_C,ahu_sat_sp_read_C,P_cooling_W,P_ahu_heating_W,P_reheat_W,P_supply_fan_W,P_return_fan_W,P_HVAC_W,E_HVAC_kWh_step
15885900,24.00006862586642,12.8,24.0,23.99861314314539,31.1,13.79685041629974,12.8,52.01062334152869,0.0,1.779170447103837,36.68890896024713,52.58743617635421,143.06613892523387,0.03576653473130847
15886800,23.99861314314539,18.0,24.0,24.00003188495136,31.1,17.06734723710343,18.0,43.26394381488167,0.0,0.0,39.65567250562562,56.83979725806339,139.75941357857067,0.034939853394642666
15887700,24.00003188495136,12.8,24.0,23.99872375744585,31.1,13.7337631729779,12.8,44.77148203444958,0.0,6.418644183867542,36.68890896024713,52.58743617635421,140.46647135491847,0.035116617838729616
15888600,23.99872375744585,18.0,24.0,23.99956733957891,31.1,17.12258959888138,18.0,38.34114162273585,0.0,0.0,39.35819757916369,56.41341653013463,134.11275573203417,0.033528188933008546
15889500,23.99956733957891,18.0,24.0,23.99977635847334,31.1,17.86585661356927,18.0,36.94390710002371,0.0,0.0,40.20424915782959,57.62609045955575,134.77424671740903,0.03369356167935226
15890400,23.99977635847334,18.0,24.0,23.99983469953824,31.1,17.94102633588233,18.0,37.08583802418785,0.0,0.0,40.67345513022596,58.29861901999055,136.05791217440435,0.03401447804360109
15891300,23.99983469953824,18.0,24.0,23.99974645262355,31.1,18.10044729111513,18.0,36.50729230626541,0.0,0.0,39.91801001136205,57.21581434961894,133.6411166672464,0.0334102791668116
15892200,23.99974645262355,18.0,24.0,23.99972222349798,31.1,17.99763501670067,18.0,36.9111358730829,0.0,0.0,39.93232735290781,57.23633587250119,134.07979909849192,0.03351994977462298
15893100,23.99972222349798,18.0,24.0,24.23732522709806,31.1,18.96713029882163,18.0,32.78368378148944,0.0,0.0,36.68890896024713,52.58743617635421,122.06002891809078,0.030515007229522696
15894000,24.23732522709806,12.8,24.0,24.01507433267045,31.1,12.75828861821432,12.8,51.38760762899112,0.0,8.331368478378707,36.7838663382473,52.72354175148779,149.2263841971049,0.03730659604927622
15894900,24.01507433267045,12.8,24.0,24.00057861179928,30.825,12.85177119923829,12.8,48.00543900632292,0.0,40.27420386098096,36.68890896024713,52.58743617635421,177.55598800390524,0.044388997000976316
15895800,24.00057861179928,12.8,24.0,23.99939717821926,30.55,12.80101600722162,12.8,46.10852080763569,0.0,31.68176574993593,36.68890896024713,52.58743617635421,167.06663169417297,0.04176665792354324
15896700,23.99939717821926,18.0,24.0,23.99957720978981,30.275,17.64991842075021,18.0,33.70695374786321,0.0,0.0,37.41993134206635,53.63523492362844,124.76212001355799,0.031190530003389495
15897600,23.99957720978981,18.0,24.0,24.09287776932208,30.0,18.34587510877014,18.0,31.36171189048913,0.0,0.0,36.68890896024713,52.58743617635421,120.63805702709047,0.030159514256772615
