lb,ub,Qsg,Tout,Tair_true,u_true
15.0,28.0,0.0,14.900000000000006,20.252777248341737,-559.96204
15.0,28.0,1.485,15.5,20.239156346512225,-553.68097
15.0,28.0,41.39498136,16.0,20.230617940856092,-549.74365
22.0,24.0,48.45134952,16.799999999999997,20.23607474352316,-552.25995
22.0,24.0,133.7924499,17.5,20.23862845569481,-553.43756
22.0,24.0,99.4199223,18.4,20.270923610206818,-568.32996
22.0,24.0,218.8266454,19.299999999999997,20.274787963022682,1354.6782
22.0,24.0,195.5727283,20.299999999999997,23.45929504972789,-2038.5958
22.0,24.0,301.8317655,21.4,18.976039020725683,1507.3263
22.0,24.0,334.0320003,22.5,23.765154297889776,-2179.638
22.0,24.0,437.9453062,23.5,19.066423022733932,1496.7174
22.0,24.0,509.3134134,24.299999999999997,24.03824576846499,-2305.5696
22.0,24.0,625.0572553,25.099999999999994,19.21824653805036,1478.897
22.0,24.0,637.7928161,25.799999999999997,24.35644949730321,-2452.3042
22.0,24.0,598.4283241,26.5,19.36947892587349,1461.1382
22.0,24.0,603.7678876,26.799999999999997,24.638453718297214,-2582.3457
22.0,24.0,591.0822006,27.200000000000003,19.47393134311143,1448.7479
22.0,24.0,635.2402779,27.299999999999997,24.87280034234512,-2690.4111
22.0,24.0,566.4009333,27.400000000000006,19.572495252952606,1434.2465
22.0,24.0,505.1647633,27.200000000000003,25.06168479059521,-2777.512
22.0,24.0,410.6284184,27.099999999999994,19.611052616116666,732.87354
22.0,24.0,400.6730685,26.599999999999994,24.090991562298633,-2329.8926
22.0,24.0,254.94076680000003,26.099999999999994,20.153297804290617,-514.0887
22.0,24.0,221.85252240000003,25.099999999999994,22.24102034550447,-1476.8082
22.0,24.0,102.9867147,24.099999999999994,21.017638691767928,-912.6655
22.0,24.0,168.16952,22.700000000000003,21.584760878213668,-1174.1848
22.0,24.0,60.94621952,21.299999999999997,21.194534961291637,-994.2384
22.0,24.0,100.748281,21.299999999999997,21.09707031196295,-949.2941
22.0,24.0,20.434762850000002,18.299999999999997,21.053792213872654,-929.3371
22.0,24.0,10.65311344,17.200000000000003,20.95096413577371,-881.9197
22.0,24.0,4.1003381,16.0,20.883839831961716,-850.9663
15.0,28.0,0.0,15.399999999999999,20.800401457199126,-812.4901
15.0,28.0,0.0,14.799999999999997,20.732254532786694,-781.06525
15.0,28.0,0.0,14.5,20.663807986286294,-749.5022
15.0,28.0,0.0,14.100000000000001,20.604059921002655,-721.9503
15.0,28.0,0.0,13.899999999999999,20.547355242644166,-695.80194
15.0,28.0,0.0,13.600000000000001,20.496743034377836,-672.46295
15.0,28.0,0.0,13.200000000000003,20.449672972171594,-650.7573
15.0,28.0,0.0,12.899999999999999,20.406016812541665,-630.626
15.0,28.0,0.0,12.5,20.365530653527262,-611.9565
15.0,28.0,0.0,12.200000000000003,20.327521828316755,-594.4293
15.0,28.0,0.0,11.899999999999991,20.29218211791816,-578.133
15.0,28.0,0.0,11.600000000000001,20.259214856216726,-562.9306
15.0,28.0,0.0,11.299999999999997,20.2283623494394,-548.7035
15.0,28.0,0.0,11.0,20.1993912069418,-535.34393
15.0,28.0,0.0,10.700000000000003,20.172096179001425,-522.75726
15.0,28.0,0.0,10.5,20.14629300639273,-510.85855
15.0,28.0,0.0,10.399999999999999,20.122342597778367,-499.8142
15.0,28.0,0.0,10.200000000000003,20.1005285088322,-489.755
15.0,28.0,2.145,11.200000000000003,20.08007551637612,-480.32346
15.0,28.0,64.12887319,12.200000000000003,20.06776297021799,-474.6457
22.0,24.0,25.575,13.399999999999999,20.078256911673606,-479.4848
22.0,24.0,115.3798774,14.600000000000001,20.07006490484114,-286.95645
22.0,24.0,58.56735122,15.799999999999997,20.395987082287373,-626.001
22.0,24.0,172.7271834,17.1,19.96175315595825,1391.5936
22.0,24.0,121.6166718,18.0,23.222340260275907,-1929.3279
22.0,24.0,326.3605193,19.0,18.844839855915215,1522.7272
22.0,24.0,318.3817948,19.799999999999997,23.528948690615913,-2070.7153
22.0,24.0,502.835609,20.700000000000003,18.953570156078325,1509.9644
22.0,24.0,527.0519262,21.4,23.822593498128295,-2206.125
22.0,24.0,638.5913125,22.200000000000003,19.1178919476252,1490.6765
22.0,24.0,658.9123948,22.9,24.14436294512722,-2354.5037
