time_hour,mpc_parameter_phase,parameter_switched_after_step,identification_rows_available,Tenv_mpc,Tair_mpc,Tout,Qsg,Qint,forecast_Tout_mean_next_step,forecast_Tout_sample_next_step,forecast_Tout_error_next_step,forecast_Qsg_mean_next_step,forecast_Qsg_sample_next_step,forecast_Qsg_relative_error_next_step,sat_mpc,zat_mpc,lb,ub,reward_mpc,energy_step_mpc_kwh,energy_cumulative_mpc_kwh,temp_exceed_step_mpc_degC_hr,temp_exceed_cumulative_mpc_degC_hr,violation_hours_cumulative_mpc,solver_success,solver_used_fallback,solver_time_sec,solver_iterations,solver_function_evaluations,solver_objective,solver_message,mpc_model_C_env,mpc_model_C_air,mpc_model_R_rc,mpc_model_R_oe,mpc_model_R_er
17685.0,generic,False,42,23.722416556866662,23.495970943673193,18.2,0.0,50.0,18.2,18.396557591953986,0.19655759195398692,0.0,0.0,0.03743567627816861,14.490284520899051,23.96600510969342,15.0,28.0,-0.0007219610151623605,0.04331766090974163,1.957144015317951,0.0,0.04139549050031377,1.5,True,False,0.008568334000301547,1,13,0.005209836182688423,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17685.5,generic,False,43,23.562445393301797,23.41620137404906,17.3,0.0,50.0,17.3,16.216609715224934,-1.0833902847750683,0.0,0.0,0.06847643621589249,14.490284520899051,23.96600510969342,15.0,28.0,-0.000796385697909432,0.04778314187456592,2.0049271571925167,0.0,0.04139549050031377,1.5,True,False,0.008489499989082105,1,13,0.005797407077020965,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17686.0,generic,False,44,23.39946854411228,23.334877394362046,16.4,0.0,50.0,16.4,16.966218836531734,0.5662188365317354,0.0,0.0,-0.245662431346645,14.490284520899051,23.96600510969342,15.0,28.0,-0.0008706841691939998,0.05224105015163999,2.057168207344157,0.0,0.04139549050031377,1.5,True,False,0.008490124993841164,1,13,0.00607517688564596,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17686.5,generic,False,45,23.2395942087345,23.254140605265235,15.8,0.0,50.0,15.8,15.712388053684775,-0.08761194631522665,0.0,0.0,0.04098071881804082,14.490284520899051,23.96600510969342,15.0,28.0,-0.0009443266034135017,0.0566595962048101,2.113827803548967,0.0,0.04139549050031377,1.5,True,False,0.008761208009673283,1,13,0.006536566994609242,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17687.0,generic,False,46,23.082499939447164,23.174796375021973,15.2,0.0,50.0,15.2,15.395848538017452,0.19584853801745278,0.0,0.0,-0.14585165822553914,14.490284520899051,23.96600510969342,15.0,28.0,-0.0010162223523945873,0.06097334114367524,2.1748011446926423,0.0,0.04139549050031377,1.5,True,False,0.008536667010048404,1,13,0.0068623768822555,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17687.5,generic,False,47,22.9318288104485,23.098100039316275,14.8,0.0,50.0,14.8,14.453782089140645,-0.3462179108593555,0.0,0.0,0.029491006014085032,14.490284520899051,23.96600510969342,15.0,28.0,-0.0010862891856027407,0.06517735113616444,2.2399784958288067,0.0,0.04139549050031377,1.5,True,False,0.008552833009161986,1,13,0.007302420228059632,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17688.0,generic,True,48,22.786970141136468,23.02438581239096,14.4,0.0,50.0,14.4,14.498331623727191,0.09833162372719001,0.0,0.0,0.12303165267243601,14.490284520899051,23.96600510969342,15.0,28.0,-0.0011534018784426282,0.06920411270655769,2.309182608535364,0.0,0.04139549050031377,1.5,True,False,0.008390125003643334,1,13,0.007621474611910276,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17688.5,identified,False,48,22.63384351747351,22.78033321991549,14.2,0.0,50.0,14.2,14.502970523845372,0.3029705238453723,0.0,0.0,-0.21406423483595663,14.5,23.0,15.0,28.0,-0.0004245862571538514,0.025475175429231084,2.3346577839645954,0.0,0.04139549050031377,1.5,True,False,0.008233041997300461,1,13,0.0038048693091065223,Optimization terminated successfully,3199602.7983013764,351870.06476050126,0.007059998911400862,0.02706996024292636,0.003689998198957633
17689.0,identified,False,48,22.468459576404154,22.541728685525246,13.9,0.0,50.0,13.9,14.785610621360421,0.8856106213604202,0.0,0.0,0.08170002455838134,14.558122668590967,22.467456327541086,15.0,28.0,-0.00037318250690006614,0.02239095041400397,2.3570487343785995,0.0,0.04139549050031377,1.5,True,False,0.059165166996535845,7,97,0.002259029293177038,Optimization terminated successfully,3199602.7983013764,351870.06476050126,0.007059998911400862,0.02706996024292636,0.003689998198957633
17689.5,identified,False,48,22.303499136415436,22.4178735082858,13.8,0.0,50.0,13.8,13.929502893098508,0.1295028930985085,0.0,0.0,-0.38129861845730045,14.556499001550279,22.46118946374822,15.0,28.0,-0.00038309377929688536,0.022985626757813123,2.3800343611364125,0.0,0.04139549050031377,1.5,True,False,0.007753750003757887,1,13,0.0023469638460807416,Optimization terminated successfully,3199602.7983013764,351870.06476050126,0.007059998911400862,0.02706996024292636,0.003689998198957633
