lb,ub,Qsg,Tout,Tair_true,sat_true,zat_true,raw_action_sat,raw_action_zat
22.0,24.0,60.472984,20.299995,22.291088,10.00003433227539,22.923969268798828,10.000034,22.92397
22.0,24.0,172.31528,21.100002,22.575191,15.499940872192383,22.885183334350586,15.499941,22.885183
22.0,24.0,122.26685,21.7,22.889061,15.499930381774902,22.72704315185547,15.49993,22.727043
22.0,24.0,330.8368,22.399998,22.967575,15.499964714050293,22.408403396606445,15.499965,22.408403
22.0,24.0,326.00232,22.900002,22.93387,15.499964714050293,22.316564559936523,15.499965,22.316565
22.0,24.0,509.5403,23.3,23.037556,15.499979019165039,21.97524642944336,15.499979,21.975246
22.0,24.0,540.7645,23.699997,23.019333,15.499981880187988,21.84393310546875,15.499982,21.843933
22.0,24.0,650.15936,24.099998,23.102339,15.49998664855957,21.53359031677246,15.499987,21.53359
22.0,24.0,679.3646,24.400002,23.097103,15.499987602233887,21.40264320373535,15.499988,21.402643
22.0,24.0,729.5835,24.800003,23.161545,15.499988555908203,21.1312313079834,15.499989,21.131231
22.0,24.0,739.38666,25.0,23.1552,15.49998950958252,21.025440216064453,15.4999895,21.02544
22.0,24.0,730.3186,25.299995,23.219643,15.499988555908203,20.791000366210938,15.499989,20.791
22.0,24.0,718.638,25.5,23.25989,15.499988555908203,20.70024871826172,15.499989,20.700249
22.0,24.0,649.78827,25.700005,23.305672,15.49998664855957,20.506330490112305,15.499987,20.50633
22.0,24.0,619.45703,25.800003,23.330801,15.499984741210938,20.456832885742188,15.499985,20.456833
22.0,24.0,494.53467,25.900002,23.329865,15.499977111816406,20.315515518188477,15.499977,20.315516
22.0,24.0,434.22626,25.800003,23.31091,15.499972343444824,20.326047897338867,15.499972,20.326048
22.0,24.0,276.8261,25.700005,23.251148,15.499948501586914,20.256685256958008,15.4999485,20.256685
22.0,24.0,212.85394,25.199997,23.179588,15.499935150146484,20.339054107666016,15.499935,20.339054
22.0,24.0,128.93266,24.700005,23.094803,15.499900817871094,20.31595802307129,15.499901,20.315958
22.0,24.0,90.987526,23.699997,23.001347,15.499885559082031,20.438861846923828,15.499886,20.438862
22.0,24.0,56.595005,22.799995,22.689495,10.000053405761719,22.285669326782227,10.000053,22.28567
22.0,24.0,40.59,22.799995,22.826515,10.000049591064453,22.350669860839844,10.00005,22.35067
